alt_ft,C,alpha,R2,n_points,T_MIL_lbf,FF_MIL_pph
0,1305.0027787725764,0.28160036949180095,0.9744750017827614,6,16407.8,7235.8
5000,1086.9766240573047,0.2933439974353196,0.9767586350886974,6,14783.9,6619.9
10000,905.165208116449,0.3051177144108805,0.9787790333460418,6,13270.5,6022.3
15000,753.4829823672138,0.3169316850361374,0.9805807596690974,6,11863.7,5447.4
20000,626.9226865828235,0.3287910664752595,0.9821920379999826,6,10559.7,4898.6
25000,521.3159814305535,0.34070226800208403,0.9836361822658812,6,9354.6,4378.3
30000,433.1501635709127,0.3526818352713428,0.9849415115579883,6,8244.6,3888.7
35000,359.5340419518947,0.36474271451466234,0.9861195037034642,6,7225.7,3430.9
40000,361.1409268202068,0.349276894579479,0.972329835276906,6,6150.6,2939.6
45000,365.6388495435603,0.33110141932053483,0.9483229710015866,6,5198.2,2497.8
