press_alt_ft,flap_deg,gw_lbs,oat_c,AGD_bias_factor,delta_to35_ft
0,0,58000,-7,1.0,0.0
0,0,58000,15,1.0,0.0
0,0,58000,32,1.0,0.0
0,0,58000,49,1.0,0.0
0,0,65000,-7,1.0,0.0
0,0,65000,15,1.0,0.0
0,0,65000,32,1.0,0.0
0,0,65000,49,1.0,0.0
0,0,72000,-7,1.0,0.0
0,0,72000,15,1.0,0.0
0,0,72000,32,1.0,0.0
0,0,72000,49,1.0,0.0
0,35,58000,-7,1.0,0.0
0,35,58000,15,1.0,0.0
0,35,58000,32,1.0,0.0
0,35,58000,49,1.0,0.0
0,35,65000,-7,1.0,0.0
0,35,65000,15,1.0,0.0
0,35,65000,32,1.0,0.0
0,35,65000,49,1.0,0.0
0,35,72000,-7,1.0,0.0
0,35,72000,15,1.0,0.0
0,35,72000,32,1.0,0.0
0,35,72000,49,1.0,0.0
